trial_idx,channel,d1,d2,d3,correction,image_path,target_x,target_y,target_theta,est_x,est_y,est_theta,err_dx_mm,err_dy_mm,err_dtheta_deg,gt_dx_mm,gt_dy_mm,gt_dtheta_deg,cycle,iters,time_s,residual_pos_mm,residual_ang_deg,gt_residual_pos_mm,gt_residual_ang_deg,success,success_gt,state
5,d1,weak,off,off,on,C:\Users\태원\R0B\experiments\run_images\d1_d1weak_d2off_d3off_corron_t5.png,0.4,0.45,0.0,0.39988,0.44964,-0.01,0.12,0.362,0.573,0.203,0.572,0.468,5,2,0.189,0.381,0.573,0.607,0.468,1,0,DONE
6,d1,weak,off,off,on,C:\Users\태원\R0B\experiments\run_images\d1_d1weak_d2off_d3off_corron_t6.png,0.4,0.45,0.0,0.39988,0.44964,-0.01,0.12,0.362,0.573,0.203,0.572,0.468,6,2,0.189,0.381,0.573,0.607,0.468,1,0,DONE
7,d1,weak,off,off,on,C:\Users\태원\R0B\experiments\run_images\d1_d1weak_d2off_d3off_corron_t7.png,0.4,0.45,0.0,0.39988,0.44964,-0.01,0.12,0.362,0.573,0.203,0.572,0.468,7,2,0.186,0.381,0.573,0.607,0.468,1,0,DONE
0,d1,weak,off,off,off,C:\Users\태원\R0B\experiments\run_images\d1_d1weak_d2off_d3off_corroff_t0.png,0.4,0.45,0.0,0.4082,0.44457,0.06053,-8.203,5.428,-3.468,-8.0,6.0,-3.0,0,1,0.096,9.836,3.468,10.0,3.0,0,0,DONE
1,d1,weak,off,off,off,C:\Users\태원\R0B\experiments\run_images\d1_d1weak_d2off_d3off_corroff_t1.png,0.4,0.45,0.0,0.4082,0.44457,0.06053,-8.203,5.428,-3.468,-8.0,6.0,-3.0,1,1,0.097,9.836,3.468,10.0,3.0,0,0,DONE
2,d1,weak,off,off,off,C:\Users\태원\R0B\experiments\run_images\d1_d1weak_d2off_d3off_corroff_t2.png,0.4,0.45,0.0,0.4082,0.44457,0.06053,-8.203,5.428,-3.468,-8.0,6.0,-3.0,2,1,0.098,9.836,3.468,10.0,3.0,0,0,DONE
3,d1,weak,off,off,off,C:\Users\태원\R0B\experiments\run_images\d1_d1weak_d2off_d3off_corroff_t3.png,0.4,0.45,0.0,0.4082,0.44457,0.06053,-8.203,5.428,-3.468,-8.0,6.0,-3.0,3,1,0.109,9.836,3.468,10.0,3.0,0,0,DONE
4,d1,weak,off,off,off,C:\Users\태원\R0B\experiments\run_images\d1_d1weak_d2off_d3off_corroff_t4.png,0.4,0.45,0.0,0.4082,0.44457,0.06053,-8.203,5.428,-3.468,-8.0,6.0,-3.0,4,1,0.098,9.836,3.468,10.0,3.0,0,0,DONE
5,d1,weak,off,off,off,C:\Users\태원\R0B\experiments\run_images\d1_d1weak_d2off_d3off_corroff_t5.png,0.4,0.45,0.0,0.4082,0.44457,0.06053,-8.203,5.428,-3.468,-8.0,6.0,-3.0,5,1,0.106,9.836,3.468,10.0,3.0,0,0,DONE
6,d1,weak,off,off,off,C:\Users\태원\R0B\experiments\run_images\d1_d1weak_d2off_d3off_corroff_t6.png,0.4,0.45,0.0,0.4082,0.44457,0.06053,-8.203,5.428,-3.468,-8.0,6.0,-3.0,6,1,0.099,9.836,3.468,10.0,3.0,0,0,DONE
